Lot_number1	Lot_number2	Estimate_from1	Estimate_from2	Estimate_to1	Estimate_to2	Currency1	Currency2	Price1	Price2	Auction_date1	Auction_date2	Auction_time1	Auction_time2	Auction_location1	Auction_location2	Description1	Description2	link1	link2	Provenance1	Provenance2	Norm_price1	Norm_price2	Norm_estimate_from1	Norm_estimate_from2	Norm_estimate_to1	Norm_estimate_to2	Author	Art	Image	Days_distance	Resale_income	Estimate_from_income	Estimate_to_income
139	139	600000	600000	800000	800000	USD	USD	690600	566500	15.11.2007	14.11.2012	1899-12-28 15:00:00	1899-12-28 14:30:00	New York	New York	 adolph gottlieb 1903 - 1974 roman three #2   signed, titled and dated 1963 on the reverseoil on canvas90 by 60 in. 228.6 by 152.4 cm.  	 adolph gottlieb 1903 - 1974 roman three no. 2   signed, titled and dated 1963 on the reverseoil on canvas90 by 60 in. 228.6 by 152.4 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/contemporary-art-day-n08364/lot.139.html	https://www.sothebys.com/en/auctions/ecatalogue/2012/contemporary-art-day-auction-n08901/lot.139.html	"
 private collection vivian horan fine art, new york avanti galleries inc., new york private collection, chicago acquired by the present owner from above in 1992
 "	"
 estate of the artistsarah blaffer foundation, houston, txvivian horan fine art, new york avanti galleries inc., new york private collection, chicagoprivate collection, new yorksotheby's, new york, november 15, 2007, lot 139acquired by the present owner from the above sale
 "	766285	671663	665756	711382	887675	948510	adolph gottlieb	ROMAN THREE #2	https://www.sothebys.com/content/dam/stb/lots/N08/N08901/117N08901_62TJV.jpg	1826	-94622	45626	60835
123	145	80000	80000	120000	120000	USD	USD	114000	92500	15.11.2006	10.05.2012	1899-12-28 15:00:00	1899-12-28 14:00:00	New York	New York	 adolph gottlieb 1903 - 1974 untitled   pastel on paper24 by 18 in. 61 by 46 cm.executed in 1949.  	 adolph gottlieb 1903 - 1974 untitled   signedpastel on paper24 by 18 in. 61 by 45.7 cm.executed in 1949.  	https://www.sothebys.com/en/auctions/ecatalogue/2006/contemporary-art-n08244/lot.123.html	https://www.sothebys.com/en/auctions/ecatalogue/2012/contemporary-art-day-n08854/lot.145.html	"
 adolph and esther gottlieb foundation, inc., new yorkandré emmerich gallery, new yorkb.c. holland gallery, inc., chicagoacquired by the present owner from the above
 "	"
 estate of the artistadolph and esther gottlieb foundation, inc., new yorksuzanne hilberry gallery, birminghamb.c. holland gallery, inc., chicagoprivate collection, chicagosotheby's, new york, november 15, 2006, lot 123acquired by the present owner from the above sale
 "	124605	110436	87442	95512	131163	143269	adolph gottlieb	UNTITLED	https://www.sothebys.com/content/dam/stb/lots/N08/N08854/175N08854_6DG77.jpg	2003	-14169	8070	12106
198	145	25000	25000	35000	35000	USD	USD	43750	64900	12.11.2009	10.11.2011	1899-12-28 15:00:00	1899-12-28 15:00:00	New York	New York	 adolph gottlieb 1903 - 1974 untitled   signed and dated 65acrylic on paper14 by 10 in. 35.6 by 25.4 cm.  	 adolph gottlieb 1903 - 1974 untitled   signed and dated 65acrylic on paper14 by 10 in. 35.6 by 25.4 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2009/contemporary-art-day-auction-n08593/lot.198.html	https://www.sothebys.com/en/auctions/ecatalogue/2011/contemporary-art-day-sale-n08792/lot.145.html	"
 marlborough gallery ltd., londonacquired by the present owner from the above in 1966
 "	"
 marlborough gallery ltd., londonleonard newman, new york (acquired from the above in 1966)sotheby's, new york, november 12, 2009, lot 198acquired by the present owner from the above sale
 "	49906	77046	28518	29678	39925	41550	adolph gottlieb	UNTITLED	https://www.sothebys.com/content/dam/stb/lots/N08/N08792/461N08792_3TMXD.jpg	728	27140	1160	1625
71	21	25000	20000	35000	30000	USD	USD	48000	12000	21.01.2004	25.01.2007	1899-12-28 15:15:00	1899-12-28 19:00:00	New York	New York	 * adriaen van de veldeamsterdam 1636 - 1672 amsterdam 1636 - 1672 study of a standing male nude holding a staff    bears inscription in brown ink, lower right: l. da vinci. red chalk13 3/4 by 9 in.; 349 by 229 mm.  	 adriaen van de velde amsterdam 1636 - 1672 amsterdam 1636 - 1672 study of a standing male nude holding a staff    bears inscription in brown ink, lower right: l. da vinci. red chalk over black chalk13 3/4 by 9 in.; 349 by 229mm  	https://www.sothebys.com/en/auctions/ecatalogue/2004/old-master-drawings-n07963/lot.71.html	https://www.sothebys.com/en/auctions/ecatalogue/2007/otto-naumann-ltd-gallery-sale-n08284/lot.21.html	"
 with a. mathews, bournemouth, catalogue 71, autumn 1967, cat.no. 239;  victor d. spark, new york, 1968;jacobus a. klaver, amsterdam (bears his mark, not in lugt, on the backing paper), his sale, amsterdam, sotheby's, 10 may 1994, lot 64
 "	"
 with a. mathews, bournemouth, catalogue 71, autumn 1967, cat.no. 239;  victor d. spark, new york, 1968;jacobus a. klaver, amsterdam (bears his mark, not in lugt, on the backing paper), his sale, amsterdam, sotheby's, 10 may 1994, lot 64;sale, new york, sotheby's, 21 january 2004, lot 71 
 "	52644	13520	27419	22533	38386	33800	adriaen van de velde	STUDY OF A STANDING MALE NUDE HOLDING A STAFF 	https://www.sothebys.com/content/dam/stb/lots/N08/N08284/N08284-21-lr-1.jpg	1100	-39124	-4886	-4586
43	158	60000	50000	80000	70000	GBP	GBP	56450	93750	10.12.2008	09.06.2015	1900-01-02 10:30:00	1900-01-02 17:00:00	London	London	 alan davie b.1920 bull god no. 2   oil on masonite99 by 132cm.; 39 by 52in.  	 alan davie 1920-2014 bull god no. 2   oil on masonite39 by 52in.; 99 by 132cm.executed in 1955.  	https://www.sothebys.com/en/auctions/ecatalogue/2008/20th-century-british-art-l08144/lot.43.html	https://www.sothebys.com/en/auctions/ecatalogue/2015/modern-post-war-british-art-l15141/lot.158.html	"
 catherine viviano gallery, new york private collection, st. louis acquired from the above by the present owner in 1972 
 "	"
 catherine viviano gallery, new yorkprivate collection, st. louisthe mildred lane kemper art museum, st louistheir sale, sotheby's london, 10th december 2008, lot 43agnews, london, where acquired by the present owner in 2011
 "	88194	168660	93740	89952	124987	125933	alan davie	BULL GOD NO. 2	https://www.sothebys.com/content/dam/stb/lots/L15/L15141/130L15141_84Q5X_front.jpg	2372	80466	-3788	946
152	31	20000	85000	30000	120000	GBP	GBP	90000	99650	08.02.2007	13.11.2012	1900-01-02 10:30:00	1900-01-02 17:00:00	London	London	 alan davie b.1920 monk's vision   signed, titled and dated 1958 on the reverseoil on canvas213.5 by 173cm.; 84 by 68 1/8 in.  	 alan davie b.1920 monk's vision   signed, titled and dated on the reverse 1958oil on canvas213.5 by 173cm.; 84 by 68in.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/contemporary-art-day-sale-morning-and-afternoon-l07021/lot.152.html	https://www.sothebys.com/en/auctions/ecatalogue/2012/modern-postwar-british-art/lot.31.html	"
 acquired directly from the artist by the present owners in 1960
 "	"
 the artist, from whom acquired by hans and alice de jong, hengelo, 1960their sale, sotheby's london, 8th february 2007, lot 152, where acquired by the present owner
 "	140577	164226	31239	140083	46859	197764	alan davie	MONK'S VISION	https://www.sothebys.com/content/dam/stb/lots/L12/L12142/257L12142_6JJJH.jpg	2105	23649	108844	150905
30	238	10000	12000	15000	18000	EUR	GBP	12000	15000	03.07.2007	01.03.2018	1900-01-03 17:00:00	1900-01-02 10:30:00	Paris	London	 albert andré 1869 - 1954 abricots et cerises    signé albert andré en bas à droitehuile sur toile43,4 x 55,3 cm; 17 1/8 x 21 3/4 in.  	 albert andré 1869 - 1954 abricots et cerises   signed albert andré (lower right)oil on canvas43.3 by 55cm. 17 1/8 by 21 5/8 in.painted circa 1935-36.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/impressionist-and-modern-art-pf7026/lot.30.html	https://www.sothebys.com/en/auctions/ecatalogue/2018/impressionist-modern-art-day-sale-l18004/lot.238.html	"
 paul durand-ruel, paris (acquis auprès de l'artiste le 30 avril 1937)madame d'alayer, née marie-louise durand-ruel (dans la collection après 1950)transmis par descendance à l'actuel propriétaire
 "	"
 durand-ruel, paris (acquired directly from the artist in 1937)madame d'alayer (by descent from the above after 1950)private collection, paris (by descent from the above; sale: sotheby's, paris, 3rd july 2007, lot 30)purchased at the above sale by the present owner
 "	15847	28852	13206	23082	19809	34623	albert andre	ABRICOTS ET CERISES	https://www.sothebys.com/content/dam/stb/lots/L18/L18004/044L18004_9M6TG.jpg	3894	13005	9876	14814
548	249	10000	15000	15000	20000	GBP	GBP	26400	18750	09.02.2005	04.02.2010	1900-01-02 14:30:00	1900-01-02 11:00:00	London	London	 albert andré 1869 - 1954 jeune femme cousant   signed albert andré (lower right)oil on canvas63.8 by 63.5cm., 25 1/2 by 25in.painted circa 1913.  	 albert andré 1869 - 1954 jeune femme cousant   signed albert andré (lower right)oil on canvas63.8 by 63.5cm., 25 1/8 by 25in.painted circa 1913.  	https://www.sothebys.com/en/auctions/ecatalogue/2005/impressionist-and-modern-art-day-sale-l05003/lot.548.html	https://www.sothebys.com/en/auctions/ecatalogue/2010/impressionist-modern-art-day-sale-l10005/lot.249.html	"
 sale: christie's, london, 6th april 1976, lot 36sale: christie's, london, 21st february 1989, lot 2purchased at the above sale by  the present owner
 "	"
 galerie durand-ruel, parissale: christie's, london, 6th april 1976, lot 36sale: christie's, london, 21st february 1989, lot 2private collection (purchased at the above sale; sale: sotheby's, london, 9th february 2005, lot 548)purchased at the above sale by the present owner
 "	40688	30878	15412	24702	23118	32937	albert andre	JEUNE FEMME COUSANT	https://www.sothebys.com/content/dam/stb/lots/L10/L10005/L10005-249-lr-1.jpg	1821	-9810	9290	9819
201	81	40000	50000	60000	70000	USD	USD	72000	112500	29.11.2006	13.11.2017	1899-12-28 15:00:00	1899-12-28 21:00:00	New York	New York	 albert bierstadt1830-1902 mountain peaks in the clouds    signed with the artist's monogrammed signature abierstadt, l.l.oil on paper17 by 26 in.(43.2 by 66 cm)  	 albert bierstadt 1830 - 1902 mountain peaks in the clouds   signed abierstadt (lower left)oil on paper mounted on board16 3/4 by 25 3/4 inches(24.5 by 65.4 cm)  	https://www.sothebys.com/en/auctions/ecatalogue/2006/american-paintings-n08249/lot.201.html	https://www.sothebys.com/en/auctions/ecatalogue/2017/american-art-n09689/lot.81.html	"
 acquired by the present owner, circa 1920s
 "	"
 knight family, akron ohio, circa 1920s (sold: sotheby's, new york, november 29, 2006, lot 201)acquired by the present owner at the above sale
 "	78698	151202	43721	67200	65581	94081	albert bierstadt	MOUNTAIN PEAKS IN THE CLOUDS	https://www.sothebys.com/content/dam/stb/lots/N09/N09689/168N09689_9F62H.jpg	4002	72504	23479	28500
205	99	30000	50000	50000	70000	USD	USD	72000	50000	29.11.2006	23.05.2017	1899-12-28 15:00:00	1899-12-28 19:00:00	New York	New York	 albert bierstadt1830-1902 lake rosalie, california   signed with the artist's monogrammed signature abierstadt, l.r.oil on paper19 by 13 3/4 in.(48.3 by 34.9 cm)  	 albert bierstadt 1830 - 1902 lake rosalie, california   signed abierstadt (lower right)oil on paper mounted on board by the artist19 by 14 1/8 inches(48.3 by 35.9 cm)  	https://www.sothebys.com/en/auctions/ecatalogue/2006/american-paintings-n08249/lot.205.html	https://www.sothebys.com/en/auctions/ecatalogue/2017/american-art-n09688/lot.99.html	"
 sloan & roman gallery, new york (sold: parke-bernet, new york, november 15, 1967, lot 56)acquired by the present owner's father at the above sale
 "	"
 sloan & roman gallery, new york (sold: parke-bernet galleries, new york, november 15, 1967, lot 56)private collection, new jersey (acquired at the above sale)private collection (by descent; sold: sotheby's, new york, november 29, 2006, lot 205, illustrated)acquired by the present owner at the above sale
 "	78698	67527	32790	67527	54651	94537	albert bierstadt	LAKE ROSALIE, CALIFORNIA	https://www.sothebys.com/content/dam/stb/lots/N09/N09688/100N09688_9F5ZQ.jpg	3828	-11171	34737	39886
161	49	30000	10000	50000	15000	USD	USD	36000	10000	30.11.2005	05.04.2012	1899-12-28 15:15:00	1899-12-28 14:00:00	New York	New York	 albert bierstadt1830-1902 mountain landscape   signed with the artist's monogrammed signature abierstadt, l.l.oil on paper14 by 19 in.(35.6 by 48.3 cm)  	 albert bierstadt 1830 - 1902 mountain landscape   signed with the artist's monogrammed signature abierstadt, l.l.oil on paper laid down on board14 by 19 in.35.6 by 48.3 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2005/american-paintings-drawings-sculpture-including-property-from-the-new-york-public-library-astor-lenox-and-tilden-foundations-n08134/lot.161.html	https://www.sothebys.com/en/auctions/ecatalogue/2012/american-paintings-n08828/lot.49.html	"
 private collection, circa 1930s by descent in the family (sold: sotheby's, new york, may 22, 2002, lot 133, illustrated in color)
 "	"
 private collection, circa 1930sby descent in the family (sold: sotheby's, new york, may 22, 2002, lot 133, illustrated in color)marbella gallery, new york (acquired at the above sale)salander o'reilly galleries, new york (sold: sotheby's, new york, november 30, 2005, lot 161, illustrated in color)ted church, saint albans, vermont (acquired at the above sale)gifted by the estate of the above to the present owner, circa 2010
 "	39284	11999	32737	11999	54561	17999	albert bierstadt	MOUNTAIN LANDSCAPE	https://www.sothebys.com/content/dam/stb/lots/N08/N08828/180N08828_67RXF.jpg	2318	-27285	-20738	-36562
42	235	12000	10000	18000	15000	USD	EUR	15000	12500	08.06.2017	23.03.2018	1899-12-28 18:00:00	1900-01-03 17:00:00	New York	Paris	 albert gleizes 1881 - 1953 composition   signed albgleizes and dated 21 (lower right)gouache on paper16 1/8 by 12 5/8 in.41 by 32 cmexecuted in 1921.  	 albert gleizes 1881 - 1953 composition   signed alb gleizes and dated 21 (lower right)gouache and watercolour on paper41 x 32 cm ; 16 1/8 x 12 5/8 in.executed in 1921.   	https://www.sothebys.com/en/auctions/ecatalogue/2017/impressionist-modern-art-n09634/lot.42.html	https://www.sothebys.com/en/auctions/ecatalogue/2018/art-impressionniste-pf1826/lot.235.html	"
 sale: francis briest, paris, november 16, 1995, lot 83guy heytens (acquired from the above sale and sold: sotheby's, london, october 25, 2000, lot 40)acquired at the above sale by the present owner
 "	"
 sale: paris, hôtel drouot, november 16, 1995, lot 83guy heytens (acquired at the above sale and sold: sotheby's, london, october 25, 2000, lot 40)private collection, united states (acquired at the above sale)sale: sotheby's, new york, june 8, 2017, lot 42acquired at the above sale by the present owner
 "	20282	20584	16226	16467	24339	24701	albert gleizes	COMPOSITION	https://www.sothebys.com/content/dam/stb/lots/PF1/PF1826/303PF1826_9RF88_1.jpg	288	302	241	362
